Username,Bio,PostCount,AvatarDefault,AvatarURL,JoinedDate,Followers,Following,HeuristicScore,HeuristicReasons,AIScore,AIJustification
naderalyeltabey,,0,False,,,0,0,2,No bio; No posts,,
nadim_sharyare_fde151f915,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
nandani_bansal_b32518f271,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
naren_chid07,,0,False,,,0,0,2,No bio; No posts,,
narfdaddy,,0,False,,,0,0,2,No bio; No posts,,
narnaiezzsshaa,,25,False,,,0,0,1,No bio,,
nex_pay_8fd56d2beed632d76,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
nhacaimm88space,,0,False,,,0,0,2,No bio; No posts,,
niccol_amery_09d1480db84,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
nick_porter_0cfcbc03e871f,,3,False,,,0,0,2,No bio; Suspicious username,,
nicole_sheppard_d85d56468,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
nikoooooo,,0,False,,,0,0,2,No bio; No posts,,
nischit,,0,False,,,0,0,2,No bio; No posts,,
notadevbuthere,,9,False,,,0,0,1,No bio,,
nova_123,,0,False,,,0,0,2,No bio; No posts,,
nyaomaru,,10,False,,,0,0,1,No bio,,
nyinyimyo,,0,False,,,0,0,2,No bio; No posts,,
olivia_taylor_d60f2b926cc,,1,False,,,0,0,2,No bio; Suspicious username,,
oluwaseun_emmanuelkehind,,0,False,,,0,0,2,No bio; No posts,,
oneeyedwarrior,,0,False,,,0,0,2,No bio; No posts,,
onlinecourseforcourttexas,,0,False,,,0,0,2,No bio; No posts,,
oratile123,,0,False,,,0,0,2,No bio; No posts,,
pascal_cescato_692b7a8a20,,17,False,,,0,0,2,No bio; Suspicious username,,
pasio,,0,False,,,0,0,2,No bio; No posts,,
pavpav,,1,False,,,0,0,1,No bio,,
pdeitrich,,0,False,,,0,0,2,No bio; No posts,,
people_half_187e1d3583fc0,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
pep_81f073d4cb5c509b1322d,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
peter_dekyssky_f104a40cb1,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
pmela_paes_b38275ac66a12,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
poojitha_katta,,0,False,,,0,0,2,No bio; No posts,,
priyanshu_burman_43aa97ed,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
pushkar_khare_ec7d821b4d7,,1,False,,,0,0,2,No bio; Suspicious username,,
pvche_piboagus_b4b6604,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
rahul_parmar_1661cd1b93c2,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
ram_h,,0,False,,,0,0,2,No bio; No posts,,
ravi_mohanty_ebf98625ed06,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
renan_lsds,,0,False,,,0,0,2,No bio; No posts,,
reviewtincaynet,,0,False,,,0,0,2,No bio; No posts,,
reviewtotnhatnet,,0,False,,,0,0,2,No bio; No posts,,
rewo,,0,False,,,0,0,2,No bio; No posts,,
riyadh1204,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
rolandfabrice,,0,False,,,0,0,2,No bio; No posts,,
ronny_hair_cf019f1ece0c68,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
rotoruapainter,,2,False,,,0,0,1,No bio,,
routepicks,,0,False,,,0,0,2,No bio; No posts,,
rumesh_chathuranga_1bdf95,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
rushang_vines_30c4e531c93,,1,False,,,0,0,2,No bio; Suspicious username,,
rvijay,,0,False,,,0,0,2,No bio; No posts,,
sajid_mehdi_1e83af2915195,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
samiran634,,0,False,,,0,0,2,No bio; No posts,,
selvaganesh_js,,0,False,,,0,0,2,No bio; No posts,,
sepehr_moarefy,,1,False,,,0,0,1,No bio,,
setzoka,,0,False,,,0,0,2,No bio; No posts,,
sg_anime_85f4d9f3246c5cb0,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
shikha_singh_6b3da33eea06,,1,False,,,0,0,2,No bio; Suspicious username,,
shivansh_tiwari_384d20c25,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
silenceplanet,,0,False,,,0,0,2,No bio; No posts,,
sillysleeper,,0,False,,,0,0,2,No bio; No posts,,
soap89,,0,False,,,0,0,2,No bio; No posts,,
stacy_gr_c9c3113e9c600e2c,,1,False,,,0,0,2,No bio; Suspicious username,,
stepandrogin,,0,False,,,0,0,2,No bio; No posts,,
stephanebunel,,0,False,,,0,0,2,No bio; No posts,,
sudojayn,,0,False,,,0,0,2,No bio; No posts,,
suvoroy,,0,False,,,0,0,2,No bio; No posts,,
syed-waleed-ahmed,,0,False,,,0,0,2,No bio; No posts,,
szeleitamas,,0,False,,,0,0,2,No bio; No posts,,
tareck_issa_3c159ce68b980,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
taylan_tutar_a9210a8e16ea,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
techy-angela,,0,False,,,0,0,2,No bio; No posts,,
the_duchess_of_hackers,,6,False,,,0,0,1,No bio,,
thetechuser,,0,False,,,0,0,2,No bio; No posts,,
timesofgames,,0,False,,,0,0,2,No bio; No posts,,
tismodev,,2,False,,,0,0,1,No bio,,
toxy4ny,,17,False,,,0,0,1,No bio,,
tpackagin,,0,False,,,0,0,2,No bio; No posts,,
trucnguyen777,,0,False,,,0,0,2,No bio; No posts,,
truecristi,,0,False,,,0,0,2,No bio; No posts,,
trustswallet,,0,False,,,0,0,2,No bio; No posts,,
tshepang_kalane_d9826009f,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
uche_igwe_a7bffa3577bd70c,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
ugursti,,0,False,,,0,0,2,No bio; No posts,,
unabrujainquieta,,0,False,,,0,0,2,No bio; No posts,,
usenmfon_ekpo_d66ef7c5888,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
victor_scarani_696c08d11b,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
victor_silva_098f6e3a54a0,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
volodymyr_iziumov_5b58407,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
wagner_junio_e0a958f4bbbd,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
yahye_erdogan_74b024f6c57,,0,False,,,0,0,3,No bio; No posts; Suspicious username,,
yongyang,,0,False,,,0,0,2,No bio; No posts,,
zmobley,,0,False,,,0,0,2,No bio; No posts,,
